"REF_DATE","GEO","DGUID","Self-reported cannabis use in the past three months","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018-01","Yellowknife (Northwest Territories)","2016A000261","Lower limit, 95% confidence interval","Percent","239","units ","0","v1038100621","13.3","","..","","","1"
"2018-01","Yellowknife (Northwest Territories)","2016A000261","Upper limit, 95% confidence interval","Percent","239","units ","0","v1038100643","13.4","","..","","","1"
"2018-01","Iqaluit (Nunavut)","2016A000262","Number of people","Number","223","thousands","3","v1038100578","14.1","","..","","","1"
"2018-01","Iqaluit (Nunavut)","2016A000262","Percentage of people","Percent","239","units ","0","v1038100600","14.2","","..","","","1"
"2018-01","Iqaluit (Nunavut)","2016A000262","Lower limit, 95% confidence interval","Percent","239","units ","0","v1038100622","14.3","","..","","","1"
"2018-01","Iqaluit (Nunavut)","2016A000262","Upper limit, 95% confidence interval","Percent","239","units ","0","v1038100644","14.4","","..","","","1"
"2018-01","Canada, females","2016A000011124","Number of people","Number","223","thousands","3","v1038100579","15.1","1842.2","","","","1"
"2018-01","Canada, females","2016A000011124","Percentage of people","Percent","239","units ","0","v1038100601","15.2","12.2","","","","1"
"2018-01","Canada, females","2016A000011124","Lower limit, 95% confidence interval","Percent","239","units ","0","v1038100623","15.3","10.6","","","","1"
"2018-01","Canada, females","2016A000011124","Upper limit, 95% confidence interval","Percent","239","units ","0","v1038100645","15.4","14.1","","","","1"
"2018-01","Canada, males","2016A000011124","Number of people","Number","223","thousands","3","v1038100580","16.1","2319.8","","","","1"
"2018-01","Canada, males","2016A000011124","Percentage of people","Percent","239","units ","0","v1038100602","16.2","15.8","","","","1"
"2018-01","Canada, males","2016A000011124","Lower limit, 95% confidence interval","Percent","239","units ","0","v1038100624","16.3","13.9","","","","1"
"2018-01","Canada, males","2016A000011124","Upper limit, 95% confidence interval","Percent","239","units ","0","v1038100646","16.4","17.9","","","","1"
"2018-01","Canada, ages 15 to 24","2016A000011124","Number of people","Number","223","thousands","3","v1038100581","17.1","815.7","","","","1"
"2018-01","Canada, ages 15 to 24","2016A000011124","Percentage of people","Percent","239","units ","0","v1038100603","17.2","23.2","","","","1"
"2018-01","Canada, ages 15 to 24","2016A000011124","Lower limit, 95% confidence interval","Percent","239","units ","0","v1038100625","17.3","17.0","","","","1"
"2018-01","Canada, ages 15 to 24","2016A000011124","Upper limit, 95% confidence interval","Percent","239","units ","0","v1038100647","17.4","30.8","","","","1"
"2018-01","Canada, ages 25 to 34","2016A000011124","Number of people","Number","223","thousands","3","v1038100582","18.1","1494.1","","","","1"
"2018-01","Canada, ages 25 to 34","2016A000011124","Percentage of people","Percent","239","units ","0","v1038100604","18.2","26.1","","","","1"
"2018-01","Canada, ages 25 to 34","2016A000011124","Lower limit, 95% confidence interval","Percent","239","units ","0","v1038100626","18.3","22.3","","","","1"
"2018-01","Canada, ages 25 to 34","2016A000011124","Upper limit, 95% confidence interval","Percent","239","units ","0","v1038100648","18.4","30.3","","","","1"
"2018-01","Canada, ages 35 to 44","2016A000011124","Number of people","Number","223","thousands","3","v1038100583","19.1","758.0","","","","1"
"2018-01","Canada, ages 35 to 44","2016A000011124","Percentage of people","Percent","239","units ","0","v1038100605","19.2","15.9","","","","1"
"2018-01","Canada, ages 35 to 44","2016A000011124","Lower limit, 95% confidence interval","Percent","239","units ","0","v1038100627","19.3","13.0","","","","1"
"2018-01","Canada, ages 35 to 44","2016A000011124","Upper limit, 95% confidence interval","Percent","239","units ","0","v1038100649","19.4","19.3","","","","1"
"2018-01","Canada, ages 45 to 54","2016A000011124","Number of people","Number","223","thousands","3","v1038100584","20.1","399.0","","","","1"
"2018-01","Canada, ages 45 to 54","2016A000011124","Percentage of people","Percent","239","units ","0","v1038100606","20.2","8.2","","","","1"
"2018-01","Canada, ages 45 to 54","2016A000011124","Lower limit, 95% confidence interval","Percent","239","units ","0","v1038100628","20.3","6.3","","","","1"
"2018-01","Canada, ages 45 to 54","2016A000011124","Upper limit, 95% confidence interval","Percent","239","units ","0","v1038100650","20.4","10.7","","","","1"
"2018-01","Canada, ages 55 to 64","2016A000011124","Number of people","Number","223","thousands","3","v1038100585","21.1","472.1","","","","1"
"2018-01","Canada, ages 55 to 64","2016A000011124","Percentage of people","Percent","239","units ","0","v1038100607","21.2","9.4","","","","1"
"2018-01","Canada, ages 55 to 64","2016A000011124","Lower limit, 95% confidence interval","Percent","239","units ","0","v1038100629","21.3","7.4","","","","1"
"2018-01","Canada, ages 55 to 64","2016A000011124","Upper limit, 95% confidence interval","Percent","239","units ","0","v1038100651","21.4","12.0","","","","1"
"2018-01","Canada, ages 65 years and older","2016A000011124","Number of people","Number","223","thousands","3","v1038100586","22.1","240.0","","","","1"
"2018-01","Canada, ages 65 years and older","2016A000011124","Percentage of people","Percent","239","units ","0","v1038100608","22.2","4.0","","","","1"
"2018-01","Canada, ages 65 years and older","2016A000011124","Lower limit, 95% confidence interval","Percent","239","units ","0","v1038100630","22.3","2.9","","","","1"
"2018-01","Canada, ages 65 years and older","2016A000011124","Upper limit, 95% confidence interval","Percent","239","units ","0","v1038100652","22.4","5.5","","","","1"
"2018-04","Canada","2016A000011124","Number of people","Number","223","thousands","3","v1038100565","1.1","4654.6","","","","1"
"2018-04","Canada","2016A000011124","Percentage of people","Percent","239","units ","0","v1038100587","1.2","15.6","","","","1"
"2018-04","Canada","2016A000011124","Lower limit, 95% confidence interval","Percent","239","units ","0","v1038100609","1.3","14.2","","","","1"
"2018-04","Canada","2016A000011124","Upper limit, 95% confidence interval","Percent","239","units ","0","v1038100631","1.4","17.0","","","","1"
"2018-04","Newfoundland and Labrador","2016A000210","Number of people","Number","223","thousands","3","v1038100566","2.1","79.4","","","","1"
"2018-04","Newfoundland and Labrador","2016A000210","Percentage of people","Percent","239","units ","0","v1038100588","2.2","18.1","","","","1"
"2018-04","Newfoundland and Labrador","2016A000210","Lower limit, 95% confidence interval","Percent","239","units ","0","v1038100610","2.3","14.1","","","","1"
"2018-04","Newfoundland and Labrador","2016A000210","Upper limit, 95% confidence interval","Percent","239","units ","0","v1038100632","2.4","22.8","","","","1"
"2018-04","Prince Edward Island","2016A000211","Number of people","Number","223","thousands","3","v1038100567","3.1","23.7","","","","1"
"2018-04","Prince Edward Island","2016A000211","Percentage of people","Percent","239","units ","0","v1038100589","3.2","19.2","","","","1"
"2018-04","Prince Edward Island","2016A000211","Lower limit, 95% confidence interval","Percent","239","units ","0","v1038100611","3.3","14.7","","","","1"
"2018-04","Prince Edward Island","2016A000211","Upper limit, 95% confidence interval","Percent","239","units ","0","v1038100633","3.4","24.8","","","","1"
"2018-04","Nova Scotia","2016A000212","Number of people","Number","223","thousands","3","v1038100568","4.1","165.6","","","","1"
"2018-04","Nova Scotia","2016A000212","Percentage of people","Percent","239","units ","0","v1038100590","4.2","21.0","","","","1"
"2018-04","Nova Scotia","2016A000212","Lower limit, 95% confidence interval","Percent","239","units ","0","v1038100612","4.3","17.0","","","","1"
"2018-04","Nova Scotia","2016A000212","Upper limit, 95% confidence interval","Percent","239","units ","0","v1038100634","4.4","25.6","","","","1"
"2018-04","New Brunswick","2016A000213","Number of people","Number","223","thousands","3","v1038100569","5.1","107.0","","","","1"
"2018-04","New Brunswick","2016A000213","Percentage of people","Percent","239","units ","0","v1038100591","5.2","17.3","","","","1"
"2018-04","New Brunswick","2016A000213","Lower limit, 95% confidence interval","Percent","239","units ","0","v1038100613","5.3","13.4","","","","1"
"2018-04","New Brunswick","2016A000213","Upper limit, 95% confidence interval","Percent","239","units ","0","v1038100635","5.4","21.9","","","","1"
"2018-04","Quebec","2016A000224","Number of people","Number","223","thousands","3","v1038100570","6.1","727.6","","","","1"
"2018-04","Quebec","2016A000224","Percentage of people","Percent","239","units ","0","v1038100592","6.2","10.6","","","","1"
"2018-04","Quebec","2016A000224","Lower limit, 95% confidence interval","Percent","239","units ","0","v1038100614","6.3","8.3","","","","1"
"2018-04","Quebec","2016A000224","Upper limit, 95% confidence interval","Percent","239","units ","0","v1038100636","6.4","13.3","","","","1"
"2018-04","Ontario","2016A000235","Number of people","Number","223","thousands","3","v1038100571","7.1","2075.2","","","","1"
"2018-04","Ontario","2016A000235","Percentage of people","Percent","239","units ","0","v1038100593","7.2","17.8","","","","1"
"2018-04","Ontario","2016A000235","Lower limit, 95% confidence interval","Percent","239","units ","0","v1038100615","7.3","15.1","","","","1"
"2018-04","Ontario","2016A000235","Upper limit, 95% confidence interval","Percent","239","units ","0","v1038100637","7.4","20.8","","","","1"
"2018-04","Manitoba","2016A000246","Number of people","Number","223","thousands","3","v1038100572","8.1","153.4","","","","1"
"2018-04","Manitoba","2016A000246","Percentage of people","Percent","239","units ","0","v1038100594","8.2","15.1","","","","1"
"2018-04","Manitoba","2016A000246","Lower limit, 95% confidence interval","Percent","239","units ","0","v1038100616","8.3","11.5","","","","1"
"2018-04","Manitoba","2016A000246","Upper limit, 95% confidence interval","Percent","239","units ","0","v1038100638","8.4","19.6","","","","1"
"2018-04","Saskatchewan","2016A000247","Number of people","Number","223","thousands","3","v1038100573","9.1","86.9","","","","1"
"2018-04","Saskatchewan","2016A000247","Percentage of people","Percent","239","units ","0","v1038100595","9.2","9.9","","","","1"
"2018-04","Saskatchewan","2016A000247","Lower limit, 95% confidence interval","Percent","239","units ","0","v1038100617","9.3","7.2","","","","1"
"2018-04","Saskatchewan","2016A000247","Upper limit, 95% confidence interval","Percent","239","units ","0","v1038100639","9.4","13.4","","","","1"
"2018-04","Alberta","2016A000248","Number of people","Number","223","thousands","3","v1038100574","10.1","533.4","","","","1"
"2018-04","Alberta","2016A000248","Percentage of people","Percent","239","units ","0","v1038100596","10.2","15.6","","","","1"
"2018-04","Alberta","2016A000248","Lower limit, 95% confidence interval","Percent","239","units ","0","v1038100618","10.3","12.3","","","","1"
"2018-04","Alberta","2016A000248","Upper limit, 95% confidence interval","Percent","239","units ","0","v1038100640","10.4","19.4","","","","1"
"2018-04","British Columbia","2016A000259","Number of people","Number","223","thousands","3","v1038100575","11.1","690.9","","","","1"
"2018-04","British Columbia","2016A000259","Percentage of people","Percent","239","units ","0","v1038100597","11.2","17.3","","","","1"
"2018-04","British Columbia","2016A000259","Lower limit, 95% confidence interval","Percent","239","units ","0","v1038100619","11.3","13.7","","","","1"
"2018-04","British Columbia","2016A000259","Upper limit, 95% confidence interval","Percent","239","units ","0","v1038100641","11.4","21.6","","","","1"
"2018-04","Whitehorse (Yukon)","2016A000260","Number of people","Number","223","thousands","3","v1038100576","12.1","5.1","","","","1"
"2018-04","Whitehorse (Yukon)","2016A000260","Percentage of people","Percent","239","units ","0","v1038100598","12.2","23.1","","","","1"
"2018-04","Whitehorse (Yukon)","2016A000260","Lower limit, 95% confidence interval","Percent","239","units ","0","v1038100620","12.3","18.6","","","","1"
"2018-04","Whitehorse (Yukon)","2016A000260","Upper limit, 95% confidence interval","Percent","239","units ","0","v1038100642","12.4","28.4","","","","1"
"2018-04","Yellowknife (Northwest Territories)","2016A000261","Number of people","Number","223","thousands","3","v1038100577","13.1","4.3","","","","1"
"2018-04","Yellowknife (Northwest Territories)","2016A000261","Percentage of people","Percent","239","units ","0","v1038100599","13.2","26.8","","","","1"
"2018-04","Yellowknife (Northwest Territories)","2016A000261","Lower limit, 95% confidence interval","Percent","239","units ","0","v1038100621","13.3","21.9","","","","1"
"2018-04","Yellowknife (Northwest Territories)","2016A000261","Upper limit, 95% confidence interval","Percent","239","units ","0","v1038100643","13.4","32.4","","","","1"
"2018-04","Iqaluit (Nunavut)","2016A000262","Number of people","Number","223","thousands","3","v1038100578","14.1","2.1","","","","1"
"2018-04","Iqaluit (Nunavut)","2016A000262","Percentage of people","Percent","239","units ","0","v1038100600","14.2","33.0","","","","1"
"2018-04","Iqaluit (Nunavut)","2016A000262","Lower limit, 95% confidence interval","Percent","239","units ","0","v1038100622","14.3","27.1","","","","1"
"2018-04","Iqaluit (Nunavut)","2016A000262","Upper limit, 95% confidence interval","Percent","239","units ","0","v1038100644","14.4","39.4","","","","1"
"2018-04","Canada, females","2016A000011124","Number of people","Number","223","thousands","3","v1038100579","15.1","1836.7","","","","1"
"2018-04","Canada, females","2016A000011124","Percentage of people","Percent","239","units ","0","v1038100601","15.2","12.2","","","","1"
"2018-04","Canada, females","2016A000011124","Lower limit, 95% confidence interval","Percent","239","units ","0","v1038100623","15.3","10.4","","","","1"
"2018-04","Canada, females","2016A000011124","Upper limit, 95% confidence interval","Percent","239","units ","0","v1038100645","15.4","14.2","","","","1"
"2018-04","Canada, males","2016A000011124","Number of people","Number","223","thousands","3","v1038100580","16.1","2817.8","","","","1"
"2018-04","Canada, males","2016A000011124","Percentage of people","Percent","239","units ","0","v1038100602","16.2","19.1","","","","1"
"2018-04","Canada, males","2016A000011124","Lower limit, 95% confidence interval","Percent","239","units ","0","v1038100624","16.3","17.0","","","","1"
"2018-04","Canada, males","2016A000011124","Upper limit, 95% confidence interval","Percent","239","units ","0","v1038100646","16.4","21.3","","","","1"
"2018-04","Canada, ages 15 to 24","2016A000011124","Number of people","Number","223","thousands","3","v1038100581","17.1","1172.4","","","","1"
"2018-04","Canada, ages 15 to 24","2016A000011124","Percentage of people","Percent","239","units ","0","v1038100603","17.2","32.7","","","","1"
"2018-04","Canada, ages 15 to 24","2016A000011124","Lower limit, 95% confidence interval","Percent","239","units ","0","v1038100625","17.3","25.8","","","","1"
"2018-04","Canada, ages 15 to 24","2016A000011124","Upper limit, 95% confidence interval","Percent","239","units ","0","v1038100647","17.4","40.5","","","","1"
"2018-04","Canada, ages 25 to 34","2016A000011124","Number of people","Number","223","thousands","3","v1038100582","18.1","1564.3","","","","1"
"2018-04","Canada, ages 25 to 34","2016A000011124","Percentage of people","Percent","239","units ","0","v1038100604","18.2","26.9","","","","1"
"2018-04","Canada, ages 25 to 34","2016A000011124","Lower limit, 95% confidence interval","Percent","239","units ","0","v1038100626","18.3","22.6","","","","1"
"2018-04","Canada, ages 25 to 34","2016A000011124","Upper limit, 95% confidence interval","Percent","239","units ","0","v1038100648","18.4","31.6","","","","1"
"2018-04","Canada, ages 35 to 44","2016A000011124","Number of people","Number","223","thousands","3","v1038100583","19.1","714.7","","","","1"
"2018-04","Canada, ages 35 to 44","2016A000011124","Percentage of people","Percent","239","units ","0","v1038100605","19.2","14.9","","","","1"
"2018-04","Canada, ages 35 to 44","2016A000011124","Lower limit, 95% confidence interval","Percent","239","units ","0","v1038100627","19.3","12.1","","","","1"
"2018-04","Canada, ages 35 to 44","2016A000011124","Upper limit, 95% confidence interval","Percent","239","units ","0","v1038100649","19.4","18.1","","","","1"
"2018-04","Canada, ages 45 to 54","2016A000011124","Number of people","Number","223","thousands","3","v1038100584","20.1","507.8","","","","1"
"2018-04","Canada, ages 45 to 54","2016A000011124","Percentage of people","Percent","239","units ","0","v1038100606","20.2","10.6","","","","1"
"2018-04","Canada, ages 45 to 54","2016A000011124","Lower limit, 95% confidence interval","Percent","239","units ","0","v1038100628","20.3","8.3","","","","1"
"2018-04","Canada, ages 45 to 54","2016A000011124","Upper limit, 95% confidence interval","Percent","239","units ","0","v1038100650","20.4","13.4","","","","1"
"2018-04","Canada, ages 55 to 64","2016A000011124","Number of people","Number","223","thousands","3","v1038100585","21.1","495.6","","","","1"
"2018-04","Canada, ages 55 to 64","2016A000011124","Percentage of people","Percent","239","units ","0","v1038100607","21.2","10.0","","","","1"
"2018-04","Canada, ages 55 to 64","2016A000011124","Lower limit, 95% confidence interval","Percent","239","units ","0","v1038100629","21.3","8.0","","","","1"
"2018-04","Canada, ages 55 to 64","2016A000011124","Upper limit, 95% confidence interval","Percent","239","units ","0","v1038100651","21.4","12.4","","","","1"
"2018-04","Canada, ages 65 years and older","2016A000011124","Number of people","Number","223","thousands","3","v1038100586","22.1","199.8","","","","1"
"2018-04","Canada, ages 65 years and older","2016A000011124","Percentage of people","Percent","239","units ","0","v1038100608","22.2","3.4","","","","1"
"2018-04","Canada, ages 65 years and older","2016A000011124","Lower limit, 95% confidence interval","Percent","239","units ","0","v1038100630","22.3","2.4","","","","1"
"2018-04","Canada, ages 65 years and older","2016A000011124","Upper limit, 95% confidence interval","Percent","239","units ","0","v1038100652","22.4","4.6","","","","1"
"2018-07","Canada","2016A000011124","Number of people","Number","223","thousands","3","v1038100565","1.1","4550.5","","","","1"
"2018-07","Canada","2016A000011124","Percentage of people","Percent","239","units ","0","v1038100587","1.2","15.2","","","","1"
"2018-07","Canada","2016A000011124","Lower limit, 95% confidence interval","Percent","239","units ","0","v1038100609","1.3","13.8","","","","1"
"2018-07","Canada","2016A000011124","Upper limit, 95% confidence interval","Percent","239","units ","0","v1038100631","1.4","16.6","","","","1"
"2018-07","Newfoundland and Labrador","2016A000210","Number of people","Number","223","thousands","3","v1038100566","2.1","71.0","","","","1"
"2018-07","Newfoundland and Labrador","2016A000210","Percentage of people","Percent","239","units ","0","v1038100588","2.2","16.1","","","","1"
"2018-07","Newfoundland and Labrador","2016A000210","Lower limit, 95% confidence interval","Percent","239","units ","0","v1038100610","2.3","12.3","","","","1"
"2018-07","Newfoundland and Labrador","2016A000210","Upper limit, 95% confidence interval","Percent","239","units ","0","v1038100632","2.4","20.9","","","","1"
"2018-07","Prince Edward Island","2016A000211","Number of people","Number","223","thousands","3","v1038100567","3.1","18.9","","","","1"
"2018-07","Prince Edward Island","2016A000211","Percentage of people","Percent","239","units ","0","v1038100589","3.2","15.0","","","","1"
"2018-07","Prince Edward Island","2016A000211","Lower limit, 95% confidence interval","Percent","239","units ","0","v1038100611","3.3","11.0","","","","1"
"2018-07","Prince Edward Island","2016A000211","Upper limit, 95% confidence interval","Percent","239","units ","0","v1038100633","3.4","20.1","","","","1"
"2018-07","Nova Scotia","2016A000212","Number of people","Number","223","thousands","3","v1038100568","4.1","181.4","","","","1"
"2018-07","Nova Scotia","2016A000212","Percentage of people","Percent","239","units ","0","v1038100590","4.2","23.0","","","","1"
"2018-07","Nova Scotia","2016A000212","Lower limit, 95% confidence interval","Percent","239","units ","0","v1038100612","4.3","18.9","","","","1"
"2018-07","Nova Scotia","2016A000212","Upper limit, 95% confidence interval","Percent","239","units ","0","v1038100634","4.4","27.6","","","","1"
"2018-07","New Brunswick","2016A000213","Number of people","Number","223","thousands","3","v1038100569","5.1","85.8","","","","1"
"2018-07","New Brunswick","2016A000213","Percentage of people","Percent","239","units ","0","v1038100591","5.2","13.8","","","","1"
"2018-07","New Brunswick","2016A000213","Lower limit, 95% confidence interval","Percent","239","units ","0","v1038100613","5.3","10.4","","","","1"
"2018-07","New Brunswick","2016A000213","Upper limit, 95% confidence interval","Percent","239","units ","0","v1038100635","5.4","18.2","","","","1"
"2018-07","Quebec","2016A000224","Number of people","Number","223","thousands","3","v1038100570","6.1","703.0","","","","1"
"2018-07","Quebec","2016A000224","Percentage of people","Percent","239","units ","0","v1038100592","6.2","10.1","","","","1"
"2018-07","Quebec","2016A000224","Lower limit, 95% confidence interval","Percent","239","units ","0","v1038100614","6.3","7.7","","","","1"
"2018-07","Quebec","2016A000224","Upper limit, 95% confidence interval","Percent","239","units ","0","v1038100636","6.4","13.3","","","","1"
"2018-07","Ontario","2016A000235","Number of people","Number","223","thousands","3","v1038100571","7.1","1779.3","","","","1"
"2018-07","Ontario","2016A000235","Percentage of people","Percent","239","units ","0","v1038100593","7.2","15.1","","","","1"
"2018-07","Ontario","2016A000235","Lower limit, 95% confidence interval","Percent","239","units ","0","v1038100615","7.3","12.6","","","","1"
"2018-07","Ontario","2016A000235","Upper limit, 95% confidence interval","Percent","239","units ","0","v1038100637","7.4","18.0","","","","1"
"2018-07","Manitoba","2016A000246","Number of people","Number","223","thousands","3","v1038100572","8.1","190.5","","","","1"
"2018-07","Manitoba","2016A000246","Percentage of people","Percent","239","units ","0","v1038100594","8.2","18.9","","","","1"
"2018-07","Manitoba","2016A000246","Lower limit, 95% confidence interval","Percent","239","units ","0","v1038100616","8.3","14.5","","","","1"
"2018-07","Manitoba","2016A000246","Upper limit, 95% confidence interval","Percent","239","units ","0","v1038100638","8.4","24.2","","","","1"
"2018-07","Saskatchewan","2016A000247","Number of people","Number","223","thousands","3","v1038100573","9.1","137.8","","","","1"
"2018-07","Saskatchewan","2016A000247","Percentage of people","Percent","239","units ","0","v1038100595","9.2","15.7","","","","1"
"2018-07","Saskatchewan","2016A000247","Lower limit, 95% confidence interval","Percent","239","units ","0","v1038100617","9.3","11.6","","","","1"
"2018-07","Saskatchewan","2016A000247","Upper limit, 95% confidence interval","Percent","239","units ","0","v1038100639","9.4","20.9","","","","1"
"2018-07","Alberta","2016A000248","Number of people","Number","223","thousands","3","v1038100574","10.1","586.5","","","","1"
"2018-07","Alberta","2016A000248","Percentage of people","Percent","239","units ","0","v1038100596","10.2","17.0","","","","1"
"2018-07","Alberta","2016A000248","Lower limit, 95% confidence interval","Percent","239","units ","0","v1038100618","10.3","13.5","","","","1"
"2018-07","Alberta","2016A000248","Upper limit, 95% confidence interval","Percent","239","units ","0","v1038100640","10.4","21.3","","","","1"
"2018-07","British Columbia","2016A000259","Number of people","Number","223","thousands","3","v1038100575","11.1","796.5","","","","1"
"2018-07","British Columbia","2016A000259","Percentage of people","Percent","239","units ","0","v1038100597","11.2","20.0","","","","1"
"2018-07","British Columbia","2016A000259","Lower limit, 95% confidence interval","Percent","239","units ","0","v1038100619","11.3","16.2","","","","1"
